step	status	detail
safety_check	complete	OK
grep_quarantine	complete	only superseded/ or honest declarations have bad words
runner_fixtures	complete	10/10 real in a15_gate15_security_fixtures_real
safe_reject	complete	real ANUBIS_EFFECT_FORBIDDEN_IN_MODE + SARIF
poc_auth	complete	real missing auth error
fuzz_v1	complete	real CLI + security block mode=fuzz
fuzz_crash	complete	real crash artifacts (local demo noted)
bounty	complete	real report from real bundle
rc_security	complete	real fixtures/fuzz/bounty in RC (smoke for metal-ref)
a15_copies	complete	all a15_*_real + sarif + snapshots in this dir only
report_declaration	complete	"No simulated artifacts were used for the Gate 15 final verdict."
Gate15_verdict	YES	first line No simulated: YES; all real evidence
