matrix_case	finding	lens	kind	lanes_rc_on_ord3x4l	intent	root_cause
ifc2r1_fn_l1	FN-L1	functions	leak	0	REJECT	builtins.rs:64 cb() plus the any/all/find/position/take_while/drop_while arms (builtins.rs:436-455) and sort_by (456): the callback is analyzed once under pc = the collection's shape label (c.lab). The runtime helpers stop early on a callback result (anubis_any/all/find/position/take_while/drop_while, run.rs 2846-2855, 3058-3094), and sort_by calls the key function once per comparison, a data-dependent number of times (run.rs 2859-2875). So whether call n+1 happens depends on earlier callback results, but nothing raises the pc for it.
ifc2r1_fn_l2	FN-L2	functions	leak	0	REJECT	eval.rs:796-799 apply(): composed pairs run through self.apply(&h, args, p) and self.apply(&g, [inner], p) with the caller's path p. The secret label of the composed value itself (f.lab, set when the if chose it) never reaches the pc of those calls, unlike user, builtin and closure callees, which use pc ⊔ f.lab. value.rs raise_in_place does not reach the composed parts either, so their own labels stay PUB.
ifc2r1_fn_l3	FN-L3	functions	leak	0	REJECT	value.rs:798 join_fns maps (Summary, Env(e)) to Summary without adding e to the interpreter's per-lambda summaries, and value.rs:740 fns_leq treats any Env as ≤ Summary without checking e ⊑ summaries[id]. Only widening past CLOSURE_DEPTH records an env (eval.rs widen_to). In this program f is nested 3 deep in d's captures, so it is summarized with s=PUB. d(0)(0)(0) extracts that Summary(L) to the top level. Joining it with the fresh Env{s: SEC} of the same lambda (h) drops the secret env. analyze_lambda(Summary) then reads summaries[L] = {s: PUB}.
ifc2r1_fn_l4	FN-L4	functions	leak	0	REJECT	builtins.rs:525-560 reduce(): for reduce(list, a, b) the runtime folds with b only when a is not a closure (anubis_reduce, run.rs 2815-2828). The (y, x) order applies y via cb(it, &f, .., c.lab, p), so the pc is c.lab ⊔ y.lab only. The label that decides a's kind (a.lab, secret here) is joined only into the result ('decided'), not into the pc under which y's effects run.
ifc2r1_fn_l5	FN-L5	functions	leak	0	REJECT	eval.rs:1664-1666 method_call() evaluates every argument once, at the caller's pc, before dispatch. The runtime inlines the lowered arguments into each type arm of the match on the receiver's type name and passes only arity-1 of them (run.rs 4956-5001). An argument is therefore evaluated only inside the chosen arm, only if that method takes it, and under the dispatch condition. IFC v2 never raises the argument's evaluation by recv.lab and assumes it always runs.
ifc2r1_fn_l6	FN-L6	functions	leak	0	REJECT	builtins.rs:493 apply(): a list whose positions are unknown (items: None) is spread as exactly six copies of its element (vec![li.all.raise(xs.lab); 6]). The runtime passes the whole list (anubis_apply: f.call_closure(items), run.rs 2876-2881), so the 7th and later parameters get real elements. IFC v2 pads them with V::scalar(PUB) in analyze_lambda, and the same happens after resize for user-fn values.
ifc2r1_fn_l7	FN-L7	functions	leak	0	REJECT	value.rs:179 part_of_top() builds a top value with no functions. When widening folds a container (value.rs:620, at DATA_DEPTH, at SUMMARY_DEPTH=4 for summary-context arguments, or at a halved limit once a value exceeds MAX_NODES=256), its closures are kept only in the folded node's own fns. Any element, field or key read out of it (index_read, field_read, elems/iter_elem, bind_pattern, try_value, pop and others) loses them. Applying such a value does nothing: apply() iterates only fns.user, builtins, clos, composed and any, and top without fns means bottom.
ifc2r1_fn_l8	FN-L8	functions	leak	0	REJECT	builtins.rs:467-479 map_values applies the callback only when the argument has a map component (if let Some(x) = &m.map). A top argument, which may be any map, never has its callback analyzed. The runtime applies f to every value of the map (anubis_map_values, run.rs 3207-3214). Every other callback builtin handles top through elems().
ifc2r1_fn_l9	FN-L9	functions	leak	0	REJECT	eval.rs:514-548 call(), summary contexts. The joined arguments (contexts[callee].1) are shared by every pc, but the summary memo is keyed per pc: skey = (callee, [], pc). When a call at one pc grows the joined arguments, only that pc's memo is removed (line 538). A later call at another pc whose arguments are ⊑ the new join sees grew == false and returns that pc's memo (line 546), which was computed from the old, smaller arguments.
ifc2r1_fn_l10	FN-L10	functions	leak	0	REJECT	eval.rs:2170-2176 field_read() reads a map's key f as known[f] or other and raises only by the map's own lab. It ignores m.klab, the label of the computed keys, which decides whether key f is present at all. index_read (m[k]) does raise by klab. The method-call fallback (a map holding a closure under the method name, eval.rs method_call) and plain m.f reads both go through field_read.
ifc2r1_fn_l11	FN-L11	functions	leak	0	REJECT	builtins.rs:426-465: map, flat_map, filter, each, find, any, all, count, position, sort_by, partition, and reduce (through cb) pass shape = c.lab as the callback's pc and use c.lab as the result length label. Iterating a map yields its keys (anubis_iter), and how many keys there are depends on m.klab: computed keys can collide, and the last duplicate wins in a literal. for-loops use len_label (which includes klab), and map_values uses m.lab ⊔ klab, but the list HOFs do not.
ifc2r1_fn_o1	FN-O1	functions	overrefusal	0	ACCEPT	value.rs fns_widened / eval.rs widen_to: closures nested past CLOSURE_DEPTH=3 are summarized per lambda, and summaries[L] joins the envs of every instance of L. The never-called secret chain s pollutes the summary that the public chain p reads when it is called: 'ANUBIS_SECRET_EXFILTRATION: [ifc2] in `main`: secret data reaches `println`'.
ifc2r1_fn_o2	FN-O2	functions	overrefusal	0	ACCEPT	eval.rs:1664-1666 method_call() evaluates every argument before dispatch. Here the receiver is exactly Plain, whose get takes no argument after self, so the runtime never evaluates audit(k) (run.rs 4966-4980 passes arity-1 arguments per arm). IFC v2 analyzes audit(k) anyway and reports 'ANUBIS_IMPLICIT_FLOW: [ifc2] in `audit`: `println` runs under a condition a secret decides'.
ifc2r1_fn_o3	FN-O3	functions	overrefusal	0	ACCEPT	eval.rs:490-550 call(): after CONTEXTS_PER_CALLEE=12 distinct argument contexts, every later call of a callee (at the same pc) shares one summary context whose arguments are the join of all of them. One secret call site (hidden, whose result is only declassified) therefore makes every later call of the helper secret, and the public println is refused ('ANUBIS_SECRET_EXFILTRATION: [ifc2] in `main`: secret data reaches `println`').
ifc2r1_fn_o4	FN-O4	functions	overrefusal	0	ACCEPT	builtins.rs:456-460 sort_by returns list_of(elems(&c), c.lab ⊔ r.deep()). A list's lab stands for both its length and its order, so a secret sort key also marks the length secret, although sort_by preserves length (run.rs 2859-2875). len(ranked) becomes secret, and the loop's println is refused ('ANUBIS_IMPLICIT_FLOW: [ifc2] in `main`: `println` runs under a condition a secret decides').
ifc2r1_fn_r1	FN-R1	functions	robustness	0	ACCEPT	value.rs:687-715 fns_widened: composed pairs are widened recursively with widen_at(0, cdepth+1). That resets the data depth, and composed values are never summarized or folded, so compose(g, h) accumulated in a loop, a reduce, or a recursive fold grows without bound. V::leq never holds between successive iterates, because composed-set membership is structural.
ifc2r1_l01_char_at_element_as_scalar	L01-char_at-element-as-scalar	parity	leak	1	REJECT	builtins.rs:164-176 puts char_at in the 'pure function of content, returns a scalar' group (scalar(deep_all)). The runtime lowers char_at(a, i) to (a).index_get(i) (run.rs emit_builtin_call, 'char_at' arm), which is the general indexer. It returns the list element itself: a closure, a struct or a list.
ifc2r1_l02_repeat_list_as_scalar	L02-repeat-list-as-scalar	parity	leak	1	REJECT	builtins.rs:169 treats repeat as returning a scalar. The runtime's anubis_repeat (run.rs, 'fn anubis_repeat') returns a List made of the input list's elements repeated when its argument is a list, and a string only otherwise.
ifc2r1_l03_place_assign_under_secret_pc_shape	L03-place-assign-under-secret-pc-shape	parity	leak	1	REJECT	eval.rs assign (999-1026) calls set_path(&cur, &segs, v.raise(pc)). Only the stored value is raised by the program counter. set_path inserts a new known map key (eval.rs:1072 for .f and 1116-1118 for [literal]) or adds a struct field (1056-1067) without raising the container's shape label (lab/klab) by pc. The runtime set_at adds the key or field, so the key set and field count depend on the branch.
ifc2r1_l04_map_literal_key_text_vs_display	L04-map-literal-key-text-vs-display	parity	leak	1	REJECT	literal_key (eval.rs:2110-2116) keys maps by the literal's source text. The runtime keys maps by display_string() of the evaluated literal: literal_to_anubis_value makes 1.50 a Float(1.5), which displays as "1.5", and 007 an Int(7), which displays as "7". u64-range literals are reinterpreted as negative i64. MapLiteral (1422-1443), index_read (2134-2146), set_path and the insert/remove paths of mutate all use the raw text.
ifc2r1_l05_struct_index_bool_literal	L05-struct-index-bool-literal	parity	leak	1	REJECT	index_read on structs (eval.rs:2147-2159) treats any literal key whose text does not parse as f64 as a field name. For `true`, it reads field "true", which is missing, and returns PUB Int(0). The runtime index_get (run.rs:1643-1700) reads a field by name only when the index is a Str. A Bool index takes the as_i64() path, so true is position 1, the secret field k.
