step	status	detail
safety	PASS	tools/grok-safety-check.sh OK
fmt	PASS	cargo fmt --check
test-risc0	PASS	cargo test -p anubis-compiler risc0
test-all	PASS	cargo test --all
clippy	PASS	cargo clippy --all-targets -- -D warnings
prove	PASS	verdict PASS, real ID
guest-elf	PASS	test -s
image-id	PASS	real, printed, no placeholder
receipt	PASS	real
no-placeholder	PASS	grep no ANUBIS_ID_FRESH
risc0-meta-jq	PASS	all -e true
standalone-verify	PASS	PASSED (real API)
schema	PASS	check_evidence_schema.sh PASS
bundle-verify	PASS	verify_bundle.sh SUCCESS RC=0
tamper-5	PASS	all correctly detected (mechanical)
