id	lens	category	source	original_evidence	verifier_evidence	historical_confirmed	historical_ifc_rc	historical_lanes_rc	expected_semantics	hazards	current_recheck_needed
r2ctl_L01_int_literal_patterns_collide_in_f64	control	leak	src/r2ctl_L01_int_literal_patterns_collide_in_f64.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L01_int_literal_patterns_collide_in_f64]	verifier/results.json#/r2ctl_L01_int_literal_patterns_collide_in_f64	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_L02_select_ignores_struct_field_order	control	leak	src/r2ctl_L02_select_ignores_struct_field_order.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L02_select_ignores_struct_field_order]	verifier/results.json#/r2ctl_L02_select_ignores_struct_field_order	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_L03_select_ignores_map_key_order	control	leak	src/r2ctl_L03_select_ignores_map_key_order.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L03_select_ignores_map_key_order]	verifier/results.json#/r2ctl_L03_select_ignores_map_key_order	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_L04_select_equal_maybe_fields_not_same_shape	control	leak	src/r2ctl_L04_select_equal_maybe_fields_not_same_shape.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L04_select_equal_maybe_fields_not_same_shape]	verifier/results.json#/r2ctl_L04_select_equal_maybe_fields_not_same_shape	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_L05_select_equal_maybe_keys_map	control	leak	src/r2ctl_L05_select_equal_maybe_keys_map.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L05_select_equal_maybe_keys_map]	verifier/results.json#/r2ctl_L05_select_equal_maybe_keys_map	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_L06_method_narrowing_drops_maybe_fields	control	leak	src/r2ctl_L06_method_narrowing_drops_maybe_fields.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L06_method_narrowing_drops_maybe_fields]	verifier/results.json#/r2ctl_L06_method_narrowing_drops_maybe_fields	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_L07_whilelet_scrutinee_continue_does_not_lift_next_header	control	leak	src/r2ctl_L07_whilelet_scrutinee_continue_does_not_lift_next_header.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L07_whilelet_scrutinee_continue_does_not_lift_next_header]	verifier/results.json#/r2ctl_L07_whilelet_scrutinee_continue_does_not_lift_next_header	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_L08_panic_under_secret_pc_not_egress	control	leak	src/r2ctl_L08_panic_under_secret_pc_not_egress.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L08_panic_under_secret_pc_not_egress]	verifier/results.json#/r2ctl_L08_panic_under_secret_pc_not_egress	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Intentional trap or process-exit witness: disposable guest only; preserve stdout, stderr and exit status.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_L09_exit_status_under_secret_pc_not_egress	control	leak	src/r2ctl_L09_exit_status_under_secret_pc_not_egress.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_L09_exit_status_under_secret_pc_not_egress]	verifier/results.json#/r2ctl_L09_exit_status_under_secret_pc_not_egress	True	0	0	REJECT this unauthorized explicit or implicit flow in IFC v2 and the full Safe-mode checker; runtime twin behavior must be compared only in approved isolation.	Intentional trap or process-exit witness: disposable guest only; preserve stdout, stderr and exit status.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Require a direct rejection control and both secret twins in the guest; check the reported sibling mechanisms before declaring the family fixed.
r2ctl_O01_same_shape_assignment_under_secret_raises_tag	control	overrefusal	src/r2ctl_O01_same_shape_assignment_under_secret_raises_tag.anb	original/review-ifc2-r2-raw.txt#/result/findings[id=r2ctl_O01_same_shape_assignment_under_secret_raises_tag]	verifier/results.json#/r2ctl_O01_same_shape_assignment_under_secret_raises_tag	True	1	0	ACCEPT the valid program in IFC v2; assess the full-check union separately because existing lanes may still refuse it.	Source appears to be an ordinary Safe-mode semantic probe; still inspect before execution and pin/cap the checker. Runtime differential replay should use a disposable guest.	NOT RECHECKED. Pin the current source/binary; run IFC-only and full check and preserve immediate statuses and diagnostics. Compare identical non-empty guest outputs and check intended D1 secret-PC rejection controls so precision is not gained by hiding a real flow.
